practice_name,canonical_code,postcode,street_address,telephone,email,website_url,nhs_profile_url,latitude,longitude,accepting_new_patients,country,nation,source_type,ods_primary_role_id,ods_primary_role_description,ods_active_roles,ods_org_link,last_change_date,registered_patient_count,google_maps_query
DR. LEAVY & PARTNERS,Z00071,BT12 7DN,"SPRINGVALE MEDICAL PRACTICE, 463 SPRINGFIELD ROAD, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00071,2021-09-16,,DR. LEAVY & PARTNERS BT12 7DN
DR. MAGUIRE & PARTNERS,Z00103,BT13 1AD,"CLIFTON STREET SURGERY, 15/17 CLIFTON STREET, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00103,2021-09-20,,DR. MAGUIRE & PARTNERS BT13 1AD
DR. MACONACHIE & PARTNERS,Z00105,BT13 1FD,"CHURCH VIEW MEDICAL PRACTICE, CORNERSTONE MEDICAL CENTRE, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00105,2025-11-14,,DR. MACONACHIE & PARTNERS BT13 1FD
DR. MAGENIS & PARTNERS,Z00096,BT13 1FD,"MALVERN FAMILY PRACTICE, CORNERSTONE MEDICAL CENTRE, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00096,2021-09-20,,DR. MAGENIS & PARTNERS BT13 1FD
DR. SAVAGE & PARTNERS,Z00052,BT13 1RU,"ALBERTVILLE SURGERY, 16 MCCANDLESS STREET, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00052,2024-11-15,,DR. SAVAGE & PARTNERS BT13 1RU
DR. CARDWELL & PARTNERS,Z00068,BT13 2BD,"SHANKILL SURGERY, 136-138 SHANKILL ROAD, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00068,2021-09-16,,DR. CARDWELL & PARTNERS BT13 2BD
DR. HUTCHINSON & PARTNERS,Z00104,BT13 3BW,"BALLYGOMARTIN GROUP PRACTICE, 17 BALLYGOMARTIN ROAD, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00104,2022-02-28,,DR. HUTCHINSON & PARTNERS BT13 3BW
DR. CLULOW & PARTNER,Z00073,BT14 6AR,"CRUMLIN ROAD FAMILY PRACTICE, CRUMLIN ROAD HEALTH CENTRE, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00073,2023-08-21,,DR. CLULOW & PARTNER BT14 6AR
DR. GARDINER & PARTNER,Z00062,BT14 6AR,"GARDINER FAMILY PRACTICE, CRUMLIN ROAD HEALTH CENTRE, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00062,2021-09-16,,DR. GARDINER & PARTNER BT14 6AR
DR. CLARKE & PARTNERS,Z00093,BT14 6FX,"CLIFTONVILLE MEDICAL PRACTICE, 61 CLIFTONVILLE ROAD, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00093,2025-02-21,,DR. CLARKE & PARTNERS BT14 6FX
DR. AGAHI & PARTNERS,Z00072,BT14 7GB,"MOUNTAINVIEW SURGERY, 585 CRUMLIN ROAD, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00072,2021-09-16,,DR. AGAHI & PARTNERS BT14 7GB
DR. CONWAY & PARTNERS,Z00080,BT14 7GB,"EDEN PARK MEDICAL PRACTICE, EVERTON COMPLEX, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00080,2023-08-23,,DR. CONWAY & PARTNERS BT14 7GB
DR. CHAMBERS & PARTNERS,Z00070,BT14 7QR,"BALLYSILLAN GROUP PRACTICE, 156-158 BALLYSILLAN ROAD, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00070,2021-09-16,,DR. CHAMBERS & PARTNERS BT14 7QR
DR. GILMORE & PARTNERS,Z00098,BT14 8BY,"LIGONIEL HEALTH CENTRE, 74A LIGONIEL ROAD, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00098,2021-09-20,,DR. GILMORE & PARTNERS BT14 8BY
DR. MCGARRY & PARTNERS,Z00058,BT15 1HS,"THE GROUP SURGERY, 257 NORTH QUEEN STREET, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00058,2025-11-14,,DR. MCGARRY & PARTNERS BT15 1HS
DR. BURNS & PARTNERS,Z00060,BT15 2GE,"DUNCAIRN MEDICAL PRACTICE, 165 DUNCAIRN GARDENS, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00060,2021-09-15,,DR. BURNS & PARTNERS BT15 2GE
DR. BEATTIE,Z00074,BT15 2GH,"NORTHGATE FAMILY PRACTICE, 36 DUNCAIRN GARDENS, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00074,2024-11-15,,DR. BEATTIE BT15 2GH
DR. MCMAHON & PARTNERS,Z00085,BT15 3BS,"ANTRIM ROAD MEDICAL CENTRE, 515 ANTRIM ROAD, BELFAST",,,,,,,,NORTHERN IRELAND,northern_ireland,ods_ni_gp_practice,RO315,NORTHERN IRELAND GP PRACTICE,RO315,https://directory.spineservices.nhs.uk/ORD/2-0-0/organisations/Z00085,2021-09-20,,DR. MCMAHON & PARTNERS BT15 3BS
